miRNA,9_5_3_4_CCAACA_S7_L001,9_5_3_8_CTCAGA_S11_L001,9_5_3_10_TAATCG_S2_L001,9_5_3_11_TACAGC_S3_L001,9_5_3_1_CAGGCG_S1_L001,9_5_3_6_CTAGCT_S9_L001,9_5_3_9_GACGAC_S12_L001,9_5_3_5_CGGAAT_S8_L001,9_5_3_12_TATAAT_S4_L001,9_5_3_2_CATGGC_S5_L001,9_5_3_3_CATTTT_S6_L001,9_5_3_7_CTATAC_S10_L001
hsa-mir-7-1_mature,116,62,322,187,17,393,30,285,212,169,85,222
hsa-mir-4772_mature,0,0,0,0,0,0,0,0,13,0,0,0
hsa-mir-450a-1_mature,3,3,0,0,0,10,0,0,4,0,0,0
hsa-mir-205_mature,0,0,0,0,0,0,0,23,6,0,0,0
hsa-mir-3115_mature,57,0,42,54,0,189,0,80,72,0,0,0
hsa-mir-1910_mature,0,0,30,3,0,24,0,30,3,10,0,0
hsa-mir-627_precursor,0,0,0,0,0,0,0,23,0,0,0,0
hsa-mir-6716_mature,2,0,3,71,0,0,36,15,13,0,0,0
hsa-mir-3689a_mature,0,0,0,0,0,0,0,6,0,0,0,0
hsa-mir-10a_mature,60,17,10,50,13,0,4,169,2,26,16,27
hsa-mir-4670_mature,0,0,8,0,0,0,0,39,0,0,0,11
hsa-mir-107_unannotated,0,0,28,0,0,6,0,39,0,0,0,7
hsa-mir-454_stemloop,0,0,5,0,0,0,0,0,0,0,0,0
hsa-mir-5188_mature,0,0,0,0,0,29,0,0,0,0,0,0
hsa-mir-6875_mature,30,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-3150a_mature,8,0,11,4,0,2,5,11,8,0,0,0
hsa-mir-3139_mature,8,0,27,0,0,0,0,33,36,0,0,0
hsa-mir-6869_mature,0,0,0,0,0,6,0,0,0,0,0,0
hsa-mir-892a_mature,0,0,0,0,0,0,0,0,17,0,0,0
hsa-mir-4429_mature,5,0,10,8,0,17,0,7,2,0,0,0
hsa-mir-4766_mature,0,0,0,23,0,9,0,0,4,0,0,0
hsa-mir-3130-1_mature,38,12,18,56,10,28,2,52,26,4,22,4
hsa-mir-145_mature,727,52,1262,985,49,1269,41,1566,1075,37,116,45
hsa-mir-3175_mature,57,0,61,96,0,50,0,85,83,0,0,10
hsa-mir-892b_mature,12,0,2,7,0,0,0,0,6,0,0,0
hsa-mir-1236_mature,12,13,25,9,0,95,14,32,58,0,49,18
hsa-let-7e_mature,55,549,43,27,566,51,394,114,88,209,621,398
hsa-mir-519a-1_mature,9,0,32,32,0,9,0,0,0,0,0,11
hsa-mir-12114_mature,10,0,1,8,0,0,0,0,4,0,0,0
hsa-mir-3615_mature,470,160,612,1209,266,1066,138,1276,587,98,343,91
hsa-mir-103a-2_stemloop,0,0,0,21,0,0,0,0,0,0,0,0
hsa-mir-29b-1_precursor,0,0,0,17,0,0,0,0,0,0,0,0
hsa-mir-7973-1_mature,0,0,8,20,0,53,0,16,6,0,0,0
hsa-mir-2110_mature,1653,160,2042,2737,214,3172,230,3621,1536,276,175,619
hsa-mir-6881_mature,4,2,52,107,0,75,0,14,37,30,21,30
hsa-mir-376c_mature,17,0,16,8,0,40,0,0,20,40,0,0
