"","9_5_3_1","9_5_3_2","9_5_3_3","9_5_3_4","9_5_3_5","9_5_3_6","9_5_3_7","9_5_3_8","9_5_3_9","9_5_3_10","9_5_3_11","9_5_3_12"
"hsa-let-7a-1_mature",732.254477313008,36.895409336679,86.7679747911519,53.4673110259558,45.7849731102257,41.4937550483355,16.6665103221967,693.389602034425,31.7582399422709,31.1406144504643,27.2784129151367,54.3108883789957
"hsa-let-7a-1_stemloop",1,1,1,1,15.3541580481493,1,1,1,1,13.7994390132109,1,3.69246911005029
"hsa-let-7a-2_mature",767.251542977863,641.59499739304,618.529418496294,3436.10119084878,1613.25903196812,1938.16899150586,615.910530146222,672.115061189792,943.320623685936,4943.64788474668,2200.82168721409,4140.40200979131
"hsa-let-7a-3_mature",2.84195082446602,39.6565946702697,73.5729017463593,55.8796011880687,44.0624741444478,35.6156293155126,24.4997654832951,706.927946208282,14.9810181555777,27.8375334147969,41.6120926870294,46.2334810488448
"hsa-let-7b_mature",170.459475850874,583.610105387636,334.835348033253,680.059680634784,418.993082362106,452.635993805225,343.704913298054,652.774569512853,465.169802765179,910.585940196887,4.18526217153172,736.582560865738
"hsa-let-7c_mature",120.726803590291,12.0447413343628,221.357719848036,52.8642384854276,49.2299710417815,11.1234387620839,51.9161585471394,128.647245067799,1,15.8638646605029,20.9078885720732,30.0786663885431
"hsa-let-7d_mature",839.087625132037,20.3282973351348,2.31950730447926,502.756353719485,204.254877961793,411.815676216178,83.2491791915329,291.107375154089,79.293701671235,650.468308638086,483.965376758497,552.956167560309
"hsa-let-7e_mature",1043.54416664777,578.087734720454,820.414036081621,34.1689897290525,33.7274803497803,17.6546895763315,780.408888529288,1062.79299306396,1102.70423065952,18.7540605667118,11.7502598289195,48.387456336885
"hsa-let-7e_stemloop",1,1,1,11.2522331889799,1,1,1,1,1,1,6.57420880018051,1.53849382201006
"hsa-let-7f-1_mature",793.038854520387,531.147584049413,498.454253788681,3138.78642836837,1393.9274969924,2047.24088010379,574.785940550456,861.651879623796,890.192754694741,4897.8176353768,9.75947097171223,4299.25768728428
"hsa-let-7f-2_mature",772.777395451261,511.819286714278,470.744600394617,11.8553057295081,1427.51622682507,2130.18776544474,555.20280264771,879.058322133042,879.007940170279,5093.93807186954,1722.63420371289,4448.95896980307
"hsa-let-7g_mature",5607.89830967455,6064.56299256516,6210.6013748794,16.0768135132057,5.01916425348179,34292.6792751259,7342.71839973945,5437.61221038762,9.38861089334661,50437.3958741221,2.99078885720732,9.07740733015086
"hsa-let-7i_mature",80.2038854520387,274.357348025478,410.047264388571,2470.58205346309,1838.61931332407,1700.75802440795,549.327861276886,99.6365075523901,440.003970085139,3658.74936187209,1638.62291393874,3512.51821332758
"hsa-mir-1-1_mature",24.9453607180582,119.7309693444,1,145.134337186246,151.431576344604,97.0093869694406,59.7494137082378,28.0766883477149,1,174.824639501993,199.680727949291,181.933924195379
