"","9_5_3_1","9_5_3_2","9_5_3_3","9_5_3_4","9_5_3_5","9_5_3_6","9_5_3_7","9_5_3_8","9_5_3_9","9_5_3_10","9_5_3_11","9_5_3_12"
"hsa-let-7a-1_mature",9.51620129915287,5.20536941688536,6.43909075120453,5.74058521753623,5.51680227013993,5.37482231716023,4.05888015554661,9.4375223920411,4.98905905469447,4.96072550609596,4.76968780427627,5.76316955692482
"hsa-let-7a-1_stemloop",0,0,0,0,3.94055749856794,0,0,0,0,3.78653771339013,0,1.884585851941
"hsa-let-7a-2_mature",9.58355583179496,9.32551908271408,9.27269840406996,11.7465568081542,10.6557623872179,10.9204786513792,9.26657698373208,9.39256442277617,9.88160439925732,12.2713602744617,11.1038265460238,12.0155551367768
"hsa-let-7a-3_mature",1.50688159120532,5.30948889289681,6.20110258786971,5.80424981917717,5.46147860072303,5.15443857730884,4.6146960344129,9.46541936528259,3.90506377196084,4.79895947964117,5.37893093874425,5.53086608611873
"hsa-let-7b_mature",7.41328499097202,9.18886105395309,8.38730802871549,9.40951754963433,8.71078261478701,8.82220750265963,8.4250266651104,9.35044104433853,8.86161363479103,9.83065137352803,2.06531799833639,9.52470343054978
"hsa-let-7c_mature",6.91560220649575,3.59033150634344,7.7902358780615,5.72422019517457,5.62146498583348,3.47553095471833,5.69811173226863,7.00727675240741,0,3.98767236954519,4.38597547052099,4.91066869789735
"hsa-let-7d_mature",9.71267766759411,4.34541747735837,1.21381838945975,8.97371559886959,7.67422672262429,8.68585493856199,6.37936414266114,8.18540758012323,6.30913437155381,9.34533495911682,8.91876002949457,9.11102131336368
"hsa-let-7e_mature",10.0272759466407,9.17514465281332,9.68020836420112,5.09461568727167,5.07585263907634,4.14197954919788,9.60808639950549,10.0536449060251,10.1068301651821,4.22913109184084,3.55462075378395,5.59656119556898
"hsa-let-7e_stemloop",0,0,0,3.49213945107946,0,0,0,0,0,0,2.71681727786654,0.621518650383613
"hsa-let-7f-1_mature",9.63124774151817,9.05296897207116,8.96131729548018,11.6159911519968,10.4449398082431,10.9994651457366,9.16688096321541,9.75096130621058,9.79797394847492,12.2579233424685,3.28680294623356,12.0698718692856
"hsa-let-7f-2_mature",9.59390908422361,8.99949070276908,8.8788007364919,3.56746096300107,10.4792914297087,11.0567648871024,9.11687104039217,9.77981507557666,9.77973238721684,12.3145657052185,10.7504006667144,12.1192520780882
"hsa-let-7g_mature",12.4532444732655,12.566187974332,12.600517256578,4.00690958198565,2.32744715944792,15.0656130054892,12.8420985569637,12.4087575522256,3.23091171746057,15.6222061695598,1.58052606311116,3.18228029684986
"hsa-let-7i_mature",6.32560022416864,8.09991240534178,8.67964640235661,11.2706352563182,10.8444070848942,10.7319621806196,9.10152365531882,6.63860254816873,8.78137273078898,11.8371348736736,10.678268178891,11.778289990767
"hsa-mir-1-1_mature",4.64069962622573,6.90365255459382,0,7.18124507532528,7.2425222556393,6.60005244918742,5.90085265158966,4.81130087433028,0,7.44976472004933,7.64155128853723,7.50727076907617
"hsa-mir-1-2_mature",4.64069962622573,7.11955607647411,1.21381838945975,7.21677274715595,7.48605982335886,6.68033772255197,5.39659072560829,5.08231239632436,0,7.45656313188777,7.47396586190091,7.38246059555974
"hsa-mir-100_mature",8.98212235128452,6.07185806809124,8.20579387924213,7.02968031776125,0,6.61934899079256,7.78352962877822,8.26919129577161,0,6.55937004254898,0,0
"hsa-mir-101-1_mature",11.7915346628401,12.283360287894,11.878646549091,13.125822690078,13.4593751966485,13.0880401846137,12.5896074947319,12.207548279415,12.4509533795513,13.1644494092794,13.5688563753314,13.506069761923
"hsa-mir-101-2_mature",11.7937818017755,12.2204775644215,11.8872152696623,13.1374560941614,2.75310455908724,13.1086688356177,12.6109911846435,12.3067096086215,12.4956453258777,13.1871082318664,13.5935556759609,13.5351561984977
"hsa-mir-101-2_precursor",0,0,0,3.56746096300107,3.03158558276867,0,0,0,0,2.57400982039216,0,3.34403237747893
"hsa-mir-10394_mature",0,0,0,4.00690958198565,4.43762642207021,3.29530993139786,0,0,0,3.21065421568402,0,4.14513193854778
"hsa-mir-10395_mature",0,6.23939811808081,6.27670925133585,2.5421541036776,2.75310455908724,0,0,0,0,2.47033809501826,0,2.89954802673245
"hsa-mir-10399_mature",4.53003389343437,5.81310666459217,6.25194468739105,5.90931970634474,4.83592323836221,5.29306942276596,0,1.55289304735549,6.95457973439415,6.0223055553114,5.08945980457502,5.51396400416098
"hsa-mir-103a-1_mature",0,0,0,1.49016839001072,0,0,0,0,0,2.23755336768569,0,2.25382495116974
"hsa-mir-103a-2_mature",0,0,0,5.09461568727167,5.15934914715354,5.61484802662249,0,0,0,3.94962639708076,4.11473919801934,5.03435375708169
"hsa-mir-103a-2_precursor",0,0,6.56506427057814,1.49016839001072,3.57399976683402,4.57648451911857,0,5.62501411325942,0,4.09613701614763,4.8112001636695,4.34949108272922
"hsa-mir-105-1_mature",0,0,3.82731836776713,3.14403707152605,1.58956318614452,4.21989469674481,0,0,0,0.868505238939961,0,2.89954802673245
"hsa-mir-105-2_mature",0,1.9111873973818,3.15656550799649,2.9324010012725,0.364105271921374,3.77988364170257,0,0,0,1.40683079427578,0,2.25382495116974
"hsa-mir-10527_mature",2.22771078290836,5.9482755816521,0,6.22061726453636,6.75214559277261,6.6289013300709,5.64263933352953,5.62501411325942,0,7.13922449774322,6.87848291490646,6.36304080673309
"hsa-mir-106a_mature",0,0,1.86354784294372,0,0,0,0,1.55289304735549,0,0,0,0.621518650383613
"hsa-mir-106b_mature",9.24117251199794,8.30275373183469,8.45938630005235,12.2124887093052,12.3090026595769,12.1461576296676,10.3565751340286,9.30263898928161,9.34986824268464,12.2984557915139,12.0408065673897,12.6457795497903
"hsa-mir-107_unannotated",0,0,0,0,3.60836492796522,1.56529263966472,3.87854845405924,0,0,3.65085456679194,0,0
"hsa-mir-10a_mature",4.64069962622573,6.1856845852873,4.46676524098533,5.21662374260881,5.62985358525732,0,5.7515299289745,5.08231239632436,3.60701238561417,2.35863574256185,4.38597547052099,1.05449263362891
"hsa-mir-10b_mature",10.123319913678,9.559957486084,6.96617302845165,4.46646652358213,9.8814305145548,2.09275727861491,8.9555144620046,8.76871717224295,9.83819321282481,10.2083442643926,5.20297398170074,2.08098604613695
"hsa-mir-11401_mature",0,0,0,5.11985672818436,5.81044225305828,5.11419799372109,5.09977214220024,1.55289304735549,0,5.83674161239154,4.72694548246763,5.65939462519553
"hsa-mir-1180_mature",2.22771078290836,5.20536941688536,10.7572850548375,3.56746096300107,4.63389047227944,3.38823275957751,3.14294518638603,4.59744714938072,10.9619511420024,5.05333033562113,5.27891358425519,3.74258381008135
"hsa-mir-12114_mature",0,0,0,2.81367354912888,0,0,0,0,0,0.498644176289454,2.06531799833639,1.65717135639936
"hsa-mir-12132_mature",0,0,0,0.680839710266297,0,3.84690086053427,0,0,0,2.7613686434943,0,2.25382495116974
